ヘアアイロン,1,0.1
秋田美人透明石鹸,3,0.2
洗顔フォーム,3,0.2
三球儀組み立てキット,3,0.2
Tシャツ,3,0.2
メモつきコースター,5,0.3
ボールペンネオン,5,0.3
ボールペンシャイン,5,0.3
三角フラスコ,4,0.3
ブレッドボード,5,0.3
時計,4,0.3
モバイルバッテリー,5,0.3
アルコールウェット,8,0.5
エコバッグ,7,0.5
HOTEL Rakuun,9,1.0
SAKAEテクニカルペーパー,10,1.0
コンビーフ,10,1.0
ビーカー,10,1.0
黒豆ケーキ,13,1.5
グリーンフラッシュ　ボールペン,18,2.5
Fit’s,23,3.0
ポスター,26,4.0
タオル,29,4.0
昆布茶,47,6.0
ペーパーソープ,55,8.0
ファイル,95,12.0
ティッシュ,333,40.0
壁紙,99992,11.0
